id,fac1,fac2,fac3,fac4,score
45,-0.84749616,0.58877795,0.178851638,0.906445748,0.491234769
46,-0.847126686,0.690924181,1.186819783,-0.412514233,1.182798929
47,-0.847093097,0.384485488,-1.165105887,-0.04613646,0.591852468
48,-0.846958743,0.362818106,-0.441436451,0.027139094,1.003993926
49,-0.846857977,0.641398736,1.186819783,-0.412514233,1.218396812
50,-0.846757211,0.672352139,-0.577124469,-0.412514233,0.441041483
51,-0.846656446,0.415438892,-0.577124469,-0.04613646,0.863260795
52,-0.846488503,0.740449626,-1.267363524,3.544365709,1.028572412
53,-0.846454914,0.690924181,-0.577124469,-0.412514233,1.140718715
54,-0.846421325,0.706400883,0.430843676,-0.04613646,1.023331585
55,-0.84632056,0.6847335,0.682835711,0.320241312,1.137750841
56,-0.846085439,0.718782244,0.188360772,2.958161273,0.968530195
57,-0.846051851,0.697114862,0.262848984,0.906445748,1.018045974
58,-0.845715965,0.728068265,0.304847657,-0.412514233,1.096641997
59,-0.845312902,0.721877584,0.598838365,-0.412514233,0.450407737
60,-0.845010604,0.690924181,-0.577124469,-0.412514233,1.077598395
61,-0.844506776,0.687828841,-0.888408748,5.156427907,1.315013267
62,-0.844473187,0.687828841,0.664169635,0.833170193,1.054866623
63,-0.844137301,0.687828841,0.934827749,-0.412514233,1.469695056
64,-0.844002947,0.697114862,0.246049514,1.27282352,0.927326913
65,-0.843667061,0.700210202,1.186819783,-0.412514233,0.957167338
66,-0.843465529,0.687828841,0.74583372,-0.339238678,1.090021575
67,-0.843364763,0.703305542,1.186819783,-0.412514233,1.167397362
68,-0.842625814,0.687828841,-0.577124469,-0.412514233,0.879091861
69,-0.842357106,0.703305542,0.178851638,-0.04613646,1.091016033
70,-0.84225634,0.873549261,-1.165105887,-0.04613646,0.220696413
71,-0.842054808,0.697114862,1.186819783,-0.412514233,1.171570543
72,-0.841819688,0.759021668,1.186819783,-0.412514233,1.045213624
73,-0.838830304,0.703305542,0.771774076,-0.412514233,1.209059907
74,-0.818173319,0.663066118,-0.103871135,4.05729459,1.026670549
75,-0.79429183,2.334549897,1.186819783,-0.412514233,0.818126371
76,-0.793989533,2.495507594,0.304847657,-0.412514233,0.988938558
77,-0.78928713,-0.315061427,-1.333100576,0.686619084,-0.312185943
78,-0.782233526,0.486631719,1.186819783,-0.412514233,0.662609148
79,-0.77329896,1.192369315,0.682835711,-0.04613646,0.797063642
80,-0.770645462,0.833309836,1.186819783,-0.412514233,0.553912507
81,-0.77044393,0.96331413,0.481242082,-0.412514233,0.994345242
82,-0.770309576,0.944742088,0.598838365,-0.412514233,1.118978731
83,-0.770141633,1.046888319,0.178851638,0.246965758,0.755324546
84,-0.770007278,0.830214496,1.186819783,-0.412514233,0.702525325
85,-0.767555311,0.77140303,-0.577124469,-0.412514233,0.715857082
86,-0.767521722,0.926170046,0.682835711,-0.412514233,1.38225914
87,-0.767353779,0.86735858,1.186819783,-0.412514233,0.919797597
88,-0.72892843,-0.318156767,-2.341068721,-0.412514233,0.627758036
89,-0.701654493,3.303391421,1.186819783,-0.412514233,1.138319331
90,-0.692719928,0.675447479,0.866102646,-0.412514233,0.877557179
91,-0.662691726,0.192574388,0.682835711,-0.119412015,0.530555623
92,-0.662423018,-0.045766818,-1.459096595,0.246965758,0.217698387
93,-0.66094512,-0.113864305,1.186819783,-0.412514233,0.521927668
94,-0.656813723,-0.327442788,-2.341068721,-0.04613646,1.050246257
95,-0.656209128,-0.135531687,-0.577124469,-0.412514233,0.245876608
96,-0.65617554,-0.417207658,-2.341068721,-0.412514233,0.091792425
97,-0.655671711,-0.228391897,0.481242082,-0.04613646,0.522717154
98,-0.653118978,-0.308870746,-2.341068721,-0.412514233,0.735696664
99,-0.653085389,-0.358396191,0.01085695,-0.412514233,0.750424739
100,-0.6530518,-0.16338975,0.682835711,-0.412514233,0.774312956
101,-0.652715915,-0.197438494,1.186819783,-0.412514233,0.605511005
102,-0.652648737,-0.185057133,1.186819783,-0.412514233,0.64428103
103,-0.62181441,-0.172675771,0.01085695,-0.412514233,0.272375984
104,-0.621780821,-0.265535981,-1.165105887,-0.04613646,0.237396807
105,-0.621713644,-0.185057133,-1.165105887,-0.04613646,0.499539607
106,-0.621680055,-0.197438494,-0.577124469,-0.412514233,0.899086242
107,-0.621612878,-0.299584725,-1.165105887,-0.339238678,0.454651441
108,-0.621176227,0.183288367,-2.341068721,-0.412514233,1.217806086
109,-0.620504455,0.245195173,1.186819783,-0.412514233,1.246991881
110,-0.6203701,0.099714178,-0.058317334,0.393516867,1.245514632
111,-0.617145596,-0.144817708,-1.165105887,0.246965758,0.840448669
112,-0.617078418,-0.15719907,1.186819783,-0.412514233,1.097418177
113,-0.617011241,-0.141722368,-0.577124469,-0.412514233,0.804238857
114,-0.616977653,-0.330538128,-1.165105887,-0.04613646,1.050535941
